Kommun;Andel döda män födda inrikes;Andel döda män födda utrikes;Andel döda kvinnor födda inrikes;Andel döda kvinnor födda utrikes;Folkmängd
0114 Upplands Väsby;0,002009663;0,000872884;0,002659251;0,000649588;49262
0115 Vallentuna;0,002955439;0,000516484;0,00272589;0,000286936;34851
0117 Österåker;0,003581749;0,00048842;0,003134031;0,000569824;49138
0120 Värmdö;0,002841337;0,000645758;0,002669135;0,000602708;46457
0123 Järfälla;0,002468991;0,000889305;0,002761526;0,000947812;85460
0125 Ekerö;0,002918655;0,000206023;0,00298733;0,000343371;29123
0126 Huddinge;0,002034863;0,000751065;0,00202613;0,000812199;114504
0127 Botkyrka;0,001950033;0,001394378;0,001488735;0,001205666;95383
0128 Salem;0,002823882;0,000288151;0,002766252;0,000518672;17352
0136 Haninge;0,002600248;0,000859924;0,002252183;0,000798501;97683
0138 Tyresö;0,003312066;0,000548624;0,002966636;0,000772138;49214
0139 Upplands-Bro;0,002354566;0,000879038;0,00200923;0,000533702;31853
0140 Nykvarn;0,003172154;0,000514403;0,001971879;0,000428669;11664
0160 Täby;0,002981221;0,000665451;0,003154238;0,00081185;75137
0162 Danderyd;0,003334149;0,000397651;0,003762388;0,000795302;32692
0163 Sollentuna;0,002715217;0,000629616;0,002426643;0,000668967;76237
0180 Stockholm;0,002373196;0,000610308;0,002597619;0,000710842;984748
0181 Södertälje;0,00207955;0,001347314;0,002304102;0,001181341;102426
0182 Nacka;0,002420401;0,000703286;0,002502603;0,000694153;109486
0183 Sundbyberg;0,002256334;0,000462364;0,002478269;0,000591825;54070
0184 Solna;0,002305442;0,000538327;0,002913985;0,000737273;85450
0186 Lidingö;0,003055831;0,000846548;0,003055831;0,000619425;48432
0187 Vaxholm;0,003025464;0,000336163;0,002689302;0,000252122;11899
0188 Norrtälje;0,005565127;0,000640371;0,004391114;0,000808087;65587
0191 Sigtuna;0,00266019;0,000925283;0,001908397;0,000520472;51876
0192 Nynäshamn;0,00426056;0,000599141;0,003994275;0,000432713;30043
0305 Håbo;0,002943114;0,000571052;0,00316275;0,000702833;22765
0319 Älvkarleby;0,005090909;0,000623377;0,005090909;0,000311688;9625
