Komuner;Andel kvinna inrikes
1;26,59250538
2;27,25890218
3;31,34030689
4;26,69134899
5;27,6152586
6;29,87329602
7;20,26130092
8;14,8873489
9;27,66251729
10;22,52183082
11;29,6663551
12;20,092299
13;19,71879287
14;31,54238258
15;37,62388352
16;24,26643231
17;25,97618883
18;23,04102474
19;25,02603073
20;24,78268911
21;29,13984786
22;30,55830856
23;26,89301622
24;43,91114093
25;19,08396947
26;39,94274873
27;31,62749835
28;50,90909091
29;24,33815129
30;44,37972401
31;50,92030272
32;28,86759726
33;35,32018057
34;52,81059792
35;40,08462309
36;37,89183603
37;43,94960445
38;49,64421645
39;55,42408768
40;51,72812392
41;35,8605608
42;37,89648549
43;37,9403794
44;47,01899567
45;57,01873473
46;67,54072308
47;54,56529647
48;46,06292369
49;50,67798932
50;74,7051114
51;34,73867993
52;39,96692393
53;48,5371444
54;44,13648006
55;84,21334046
56;37,2308665
57;29,30832356
58;38,14367451
59;38,5023898
60;22,85191956
61;41,04338387
62;45,10569544
63;36,66083217
64;50,08765339
65;38,04911795
66;46,72500212
67;47,33856105
68;52,07750028
69;55,83918315
70;53,08982799
71;36,53506187
72;64,24331138
73;44,42908624
74;50,29847446
75;53,11823726
76;33,2520049
77;53,36516519
78;59,0974212
79;68,16245385
80;41,91429465
81;52,61660978
82;50,46700813
83;65,26158126
84;38,04604404
85;54,17918534
86;50,31818855
87;61,39154161
88;58,49456836
89;66,31666206
90;43,64670688
91;52,43559541
92;46,03941094
93;55,88124379
94;62,39135833
95;60,52301016
96;26,95976773
97;36,22376578
98;32,69288804
99;40,18931282
100;58,31103794
101;52,60640842
102;36,11007347
103;31,10563597
104;36,81080862
105;35,64067331
106;38,85003885
107;57,29779506
108;50,26084744
109;45,09452506
110;47,06052708
111;49,07781208
112;59,67668832
113;56,43644182
114;50,93758746
115;33,65767089
116;46,76440849
117;28,65321495
118;29,83237787
119;35,10339546
120;37,62212287
121;51,59591503
122;34,86931212
123;62,74831305
124;43,94520783
125;43,81009477
126;70,77697389
127;46,08294931
128;54,80341423
129;46,82721713
130;42,22619546
131;44,77892756
132;50,40729949
133;43,95280236
134;38,4610902
135;29,17358282
136;28,10398474
137;45,3125
138;33,72802296
139;36,86635945
140;60,33084658
141;56,76855895
142;54,83078087
143;69,16160762
144;58,06451613
145;49,14004914
146;30,86991418
147;28,02278574
148;38,31105315
149;34,01009997
150;56,67729366
151;48,97673605
152;53,84724387
153;73,16134001
154;42,71356784
155;76,71528903
156;56,13732052
157;38,1203216
158;42,45803731
159;45,30325444
160;39,92854891
161;45,78357978
162;49,71751412
163;44,74076673
164;50,07620292
165;28,13144539
166;28,52700794
167;40,75976196
168;71,98306281
169;46,78607591
170;49,66139955
171;45,10825982
172;40,3212201
173;44,07687386
174;36,96098563
175;43,01417875
176;49,11591356
177;56,5245478
178;46,96344267
179;42,12210077
180;40,37380575
181;57,34069025
182;43,61710414
183;50,82401059
184;44,57284358
185;37,49267721
186;57,83892735
187;56,67181865
188;42,80618312
189;67,549311
190;45,77647262
191;47,22679846
192;45,39035707
193;47,69712327
194;43,74598304
195;59,4520434
196;58,16771692
197;69,89386487
198;60,39021369
199;55,76695972
200;30,83599817
201;69,94261119
202;42,3572744
203;45,12067156
204;79,62740385
205;46,49103387
206;34,2281582
207;34,2541928
208;50,44794294
209;50,53173922
210;41,11765256
211;52,91231065
212;45,43389368
213;51,82896442
214;35,38005022
215;40,69175992
216;55,09152301
217;34,22563708
218;49,17105435
219;60,71508882
220;51,30168453
221;52,54562238
222;67,64705882
223;53,61668941
224;38,09886656
225;50,26996835
226;70,32095204
227;54,80242284
228;76,94499858
229;51,27266068
230;55,12839112
231;39,78735498
232;40,82180229
233;46,1361015
234;49,86077835
235;51,02040816
236;52,74541798
237;65,28087957
238;53,84290541
239;54,20753743
240;43,21703384
241;69,78850354
242;44,35082566
243;57,03616553
244;70,47272151
245;70,98858173
246;54,12863511
247;69,99890627
248;47,87653487
249;57,88013988
250;50,62348406
251;67,02412869
252;78,74859378
253;57,41850712
254;86,97332818
255;47,062642
256;48,93123873
257;65,80679126
258;21,89781022
259;69,67670011
260;68,72852234
261;47,28497698
262;75,00707614
263;113,8279933
264;89,02616279
265;62,13936973
266;88,67494299
267;75,83250907
268;66,12145467
269;86,20689655
270;111,893908
271;49,09070624
272;79,77475364
273;79,07979871
274;36,37463606
275;75,96177407
276;56,58450042
277;76,91048928
278;59,99250094
279;48,31932773
280;129,7468354
281;67,39144256
282;46,1277009
283;74,7917729
284;55,68312285
285;70,78751106
286;47,0698097
287;49,33666966
288;52,76668568
289;26,76659529
290;53,07050796
