Datum;Antal;Month;;;;;;;;;
jan-13;2520;1;;;;;;;;;
feb-13;2658;2;;;;;;;;;
mar-13;2915;3;;;;;;;;;
apr-13;2820;4;;;;;;;;;
maj-13;4788;5;;;;;;;;;
jun-13;7881;6;;;;;;;;;
jul-13;7164;7;;;;;;;;;
aug-13;8524;8;;;;;;;;;
sep-13;4289;9;;;;;;;;;
okt-13;2955;10;;;;;;;;;
nov-13;2537;11;;;;;;;;;
dec-13;2559;12;;;;;;;;;
jan-14;2418;13;;;;;;;;;
feb-14;2868;14;;;;;;;;;
mar-14;2694;15;;;;;;;;;
apr-14;3117;16;;;;;;;;;
maj-14;5555;17;;;;;;;;;
jun-14;7633;18;;;;;;;;;
jul-14;7131;19;;;;;;;;;
aug-14;8809;20;;;;;;;;;
sep-14;4481;21;;;;;;;;;
okt-14;3304;22;;;;;;;;;
nov-14;2550;23;;;;;;;;;
dec-14;2553;24;;;;;;;;;
jan-15;2576;25;;;;;;;;;
feb-15;3010;26;;;;;;;;;
mar-15;2424;27;;;;;;;;;
apr-15;2838;28;;;;;;;;;
maj-15;5810;29;;;;;;;;;
jun-15;6711;30;;;;;;;;;
jul-15;7553;31;;;;;;;;;
aug-15;8956;32;;;;;;;;;
sep-15;4597;33;;;;;;;;;
okt-15;3247;34;;;;;;;;;
nov-15;2424;35;;;;;;;;;
dec-15;2168;36;;;;;;;;;
jan-16;2545;37;;;;;;;;;
feb-16;2835;38;;;;;;;;;
mar-16;2581;39;;;;;;;;;
apr-16;3097;40;;;;;;;;;
maj-16;5055;41;;;;;;;;;
jun-16;6956;42;;;;;;;;;
jul-16;8933;43;;;;;;;;;
aug-16;8331;44;;;;;;;;;
sep-16;4998;45;;;;;;;;;
okt-16;3448;46;;;;;;;;;
nov-16;2299;47;;;;;;;;;
dec-16;2739;48;;;;;;;;;
jan-17;2448;49;;;;;;;;;
feb-17;2664;50;;;;;;;;;
mar-17;2557;51;;;;;;;;;
apr-17;3102;52;;;;;;;;;
maj-17;4817;53;;;;;;;;;
jun-17;6672;54;;;;;;;;;
jul-17;8707;55;;;;;;;;;
aug-17;7858;56;;;;;;;;;
sep-17;5685;57;;;;;;;;;
okt-17;2996;58;;;;;;;;;
nov-17;2346;59;;;;;;;;;
dec-17;2645;60;;;;;;;;;
jan-18;2379;61;;;;;;;;;
feb-18;2728;62;;;;;;;;;
mar-18;2628;63;;;;;;;;;
apr-18;2748;64;;;;;;;;;
maj-18;4694;65;;;;;;;;;
jun-18;7413;66;;;;;;;;;
jul-18;6872;67;;;;;;;;;
aug-18;8446;68;;;;;;;;;
sep-18;5346;69;;;;;;;;;
okt-18;2853;70;;;;;;;;;
nov-18;2235;71;;;;;;;;;
dec-18;2454;72;;;;;;;;;
jan-19;2067;73;;;;;;;;;
feb-19;2809;74;;;;;;;;;
mar-19;2689;75;;;;;;;;;
apr-19;2617;76;;;;;;;;;
maj-19;4622;77;;;;;;;;;
jun-19;7371;78;;;;;;;;;
jul-19;6515;79;;;;;;;;;
aug-19;7978;80;;;;;;;;;
sep-19;4436;81;;;;;;;;;
okt-19;2867;82;;;;;;;;;
nov-19;2292;83;;;;;;;;;
dec-19;2218;84;;;;;;;;;
jan-20;2053;85;;;;;;;;;
feb-20;3607;86;;;;;;;;;
mar-20;1888;87;;;;;;;;;
apr-20;1840;88;;;;;;;;;
maj-20;3421;89;;;;;;;;;
jun-20;4086;90;;;;;;;;;
jul-20;4661;91;;;;;;;;;
aug-20;5980;92;;;;;;;;;
sep-20;3517;93;;;;;;;;;
okt-20;3057;94;;;;;;;;;
nov-20;1917;95;;;;;;;;;
dec-20;1564;96;;;;;;;;;
jan-21;1603;97;;;;;;;;;
feb-21;2017;98;;;;;;;;;
mar-21;2040;99;;;;;;;;;
apr-21;1985;100;;;;;;;;;
maj-21;3460;101;;;;;;;;;
jun-21;4091;102;;;;;;;;;
jul-21;6113;103;;;;;;;;;
aug-21;6091;104;;;;;;;;;
sep-21;3976;105;;;;;;;;;
okt-21;3191;106;;;;;;;;;
nov-21;2154;107;;;;;;;;;
dec-21;2174;108;;;;;;;;;
jan-22;2080;109;;;;;;;;;
feb-22;2638;110;;;;;;;;;
mar-22;2263;111;;;;;;;;;
apr-22;2614;112;;;;;;;;;
maj-22;4899;113;;;;;;;;;
jun-22;6410;114;;;;;;;;;
jul-22;8288;115;;;;;;;;;
aug-22;6902;116;;;;;;;;;
sep-22;4251;117;;;;;;;;;
okt-22;3244;118;;;;;;;;;
nov-22;2152;119;;;;;;;;;
dec-22;2142;120;;;;;;;;;
