Kommun;Antal döda män födda inrikes;Antal döda kvinnor födda inrikes;Folkmängd
0114 Upplands Väsby;20,0966262;26,59250538;49262
0115 Vallentuna;29,55438868;27,25890218;34851
0117 Österåker;35,81749359;31,34030689;49138
0120 Värmdö;28,4133715;26,69134899;46457
0123 Järfälla;24,68991341;27,6152586;85460
0125 Ekerö;29,18655358;29,87329602;29123
0126 Huddinge;20,34863411;20,26130092;114504
0127 Botkyrka;19,50033025;14,8873489;95383
0128 Salem;28,23881973;27,66251729;17352
0136 Haninge;26,0024774;22,52183082;97683
0138 Tyresö;33,12065672;29,6663551;49214
0139 Upplands-Bro;23,54566289;20,092299;31853
0140 Nykvarn;31,72153635;19,71879287;11664
0160 Täby;29,8122097;31,54238258;75137
0162 Danderyd;33,34149027;37,62388352;32692
0163 Sollentuna;27,15217021;24,26643231;76237
0180 Stockholm;23,73195985;25,97618883;984748
0181 Södertälje;20,79550114;23,04102474;102426
0182 Nacka;24,20400782;25,02603073;109486
0183 Sundbyberg;22,56334381;24,78268911;54070
0184 Solna;23,05441779;29,13984786;85450
0186 Lidingö;30,55830856;30,55830856;48432
0187 Vaxholm;30,25464325;26,89301622;11899
0188 Norrtälje;55,65127236;43,91114093;65587
0191 Sigtuna;26,60189683;19,08396947;51876
0192 Nynäshamn;42,60559864;39,94274873;30043
0305 Håbo;29,4311443;31,62749835;22765
0319 Älvkarleby;50,90909091;50,90909091;9625
0330 Knivsta;26,82163612;24,33815129;20133
0331 Heby;42,29942445;44,37972401;14421
0360 Tierp;59,79631879;50,92030272;21406
0380 Uppsala;28,33071777;28,86759726;242140
0381 Enköping;45,97893329;35,32018057;47848
0382 Östhammar;61,31399928;52,81059792;22344
0428 Vingåker;48,99231711;40,08462309;8981
0461 Gnesta;43,05890458;37,89183603;11612
0480 Nyköping;46,70722669;43,94960445;58021
0481 Oxelösund;61,22786695;49,64421645;12086
0482 Flen;62,89699838;55,42408768;16058
0483 Katrineholm;55,77389897;51,72812392;34604
0484 Eskilstuna;34,56327953;35,8605608;107918
0486 Strängnäs;44,12604475;37,89648549;38526
0488 Trosa;49,45799458;37,9403794;14760
0509 Ödeshög;41,37671619;47,01899567;5317
0512 Ydre;70,59462395;57,01873473;3683
0513 Kinda;50,65554231;67,54072308;10068
0560 Boxholm;76,39141506;54,56529647;5498
0561 Åtvidaberg;76,48183556;46,06292369;11506
0562 Finspång;58,43948318;50,67798932;21903
0563 Valdemarsvik;51,11402359;74,7051114;7630
0580 Linköping;33,47872781;34,73867993;166673
0581 Norrköping;39,82910695;39,96692393;145120
0582 Söderköping;44,49238236;48,5371444;14834
0583 Motala;39,1053787;44,13648006;43728
0584 Vadstena;88,22349953;84,21334046;7481
0586 Mjölby;46,71420041;37,2308665;28471
0604 Aneby;57,15123095;29,30832356;6824
0617 Gnosjö;29,66730239;38,14367451;9438
0642 Mullsjö;54,43441317;38,5023898;7532
0643 Habo;28,18403413;22,85191956;13128
0662 Gislaved;34,598555;41,04338387;29481
0665 Vaggeryd;41,06637943;45,10569544;14854
0680 Jönköping;32,45724051;36,66083217;145114
0682 Nässjö;48,52241422;50,08765339;31944
0683 Värnamo;39,77862331;38,04911795;34692
0684 Sävsjö;52,67182058;46,72500212;11771
0685 Vetlanda;52,75900697;47,33856105;27673
0686 Eksjö;55,99731213;52,07750028;17858
0687 Tranås;59,02999362;55,83918315;18804
0760 Uppvidinge;49,90443831;53,08982799;9418
0761 Lessebo;34,17796111;36,53506187;8485
0763 Tingsryd;78,88102789;64,24331138;12297
0764 Alvesta;42,9481167;44,42908624;20257
0765 Älmhult;33,71655981;50,29847446;18092
0767 Markaryd;39,34684242;53,11823726;10166
0780 Växjö;31,19305723;33,2520049;97137
0781 Ljungby;48,80103922;53,36516519;28483
0821 Högsby;71,63323782;59,0974212;5584
0834 Torsås;72,42260721;68,16245385;7042
0840 Mörbylånga;44,4166406;41,91429465;15985
0860 Hultsfred;66,83731513;52,61660978;14064
0861 Mönsterås;48,20729135;50,46700813;13276
0862 Emmaboda;46,00406548;65,26158126;9347
0880 Kalmar;44,01677358;38,04604404;72018
0881 Nybro;60,58217997;54,17918534;20303
0882 Oskarshamn;57,71792215;50,31818855;27028
0883 Västervik;61,39154161;61,39154161;36650
0884 Vimmerby;59,13736582;58,49456836;15557
0885 Borgholm;70,00092106;66,31666206;10857
0980 Gotland;53,12801399;43,64670688;61173
1060 Olofström;54,71540391;52,43559541;13159
1080 Karlskrona;45,2895834;46,03941094;66682
1081 Ronneby;56,2240735;55,88124379;29169
1082 Karlshamn;62,39135833;62,39135833;32216
1083 Sölvesborg;56,52620761;60,52301016;17514
1214 Svalöv;37,32890917;26,95976773;14466
1230 Staffanstorp;39,58473374;36,22376578;26778
1231 Burlöv;27,66321296;32,69288804;19882
1233 Vellinge;38,3384892;40,18931282;37821
1256 Östra Göinge;52,13692804;58,31103794;14577
1257 Örkelljunga;60,25824964;52,60640842;10455
1260 Bjuv;43,58112315;36,11007347;16062
1261 Kävlinge;37,26516785;31,10563597;32470
1262 Lomma;40,04692367;36,81080862;24721
1263 Svedala;38,21710752;35,64067331;23288
1264 Skurup;38,85003885;38,85003885;16731
1265 Sjöbo;54,73985778;57,29779506;19547
1266 Hörby;55,98676676;50,26084744;15718
1267 Höör;41,04758051;45,09452506;17297
1270 Tomelilla;55,02461628;47,06052708;13812
1272 Bromölla;59,36832106;49,07781208;12633
1273 Osby;54,3888805;59,67668832;13238
1275 Perstorp;52,4052674;56,43644182;7442
1276 Klippan;46,45955779;50,93758746;17865
1277 Åstorp;43,44899333;33,65767089;16341
1278 Båstad;57,50758342;46,76440849;15824
1280 Malmö;24,56789329;28,65321495;357377
1281 Lund;29,98816052;29,83237787;128384
1282 Landskrona;47,23002298;35,10339546;47004
1283 Helsingborg;35,10514986;37,62212287;150975
1284 Höganäs;44,1234032;51,59591503;28103
1285 Eslöv;42,36189159;34,86931212;34701
1286 Ystad;63,0636312;62,74831305;31714
1287 Trelleborg;40,94407168;43,94520783;46649
1290 Kristianstad;46,80762757;43,81009477;86738
1291 Simrishamn;82,83527315;70,77697389;19074
1292 Ängelholm;45,63115569;46,08294931;44268
1293 Hässleholm;54,80341423;54,80341423;52369
1315 Hylte;49,6941896;46,82721713;10464
1380 Halmstad;42,79681972;42,22619546;105148
1381 Laholm;45,15522107;44,77892756;26575
1382 Falkenberg;43,60125061;50,40729949;47017
1383 Varberg;39,23303835;43,95280236;67800
1384 Kungsbacka;34,73152994;38,4610902;85801
1401 Härryda;28,1675972;29,17358282;39762
1402 Partille;30,6132691;28,10398474;39852
1407 Öckerö;56,25;45,3125;12800
1415 Stenungsund;36,23968425;33,72802296;27870
1419 Tjörn;46,08294931;36,86635945;16275
1421 Orust;51,24878365;60,33084658;15415
1427 Sotenäs;79,69432314;56,76855895;9160
1430 Munkedal;67,12043865;54,83078087;10578
1435 Tanum;68,39314532;69,16160762;13013
1438 Dals-Ed;60,21505376;58,06451613;4650
1439 Färgelanda;64,4963145;49,14004914;6512
1440 Ale;29,63511761;30,86991418;32394
1441 Lerum;35,83241455;28,02278574;43536
1442 Vårgårda;40,75643952;38,31105315;12268
1443 Bollebygd;35,04070906;34,01009997;9703
1444 Grästorp;60,21962451;56,67729366;5646
1445 Essunga;68,21759664;48,97673605;5717
1446 Karlsborg;63,76647301;53,84724387;7057
1447 Gullspång;86,63842896;73,16134001;5194
1452 Tranemo;47,73869347;42,71356784;11940
1460 Bengtsfors;70,23230686;76,71528903;9255
1461 Mellerud;61,5351398;56,13732052;9263
1462 Lilla Edet;41,58580538;38,1203216;14428
1463 Mark;51,23269835;42,45803731;35329
1465 Svenljunga;45,30325444;45,30325444;10816
1466 Herrljunga;55,68981822;39,92854891;9517
1470 Vara;54,44533812;45,78357978;16163
1471 Götene;47,45762712;49,71751412;13275
1472 Tibro;45,61803667;44,74076673;11399
1473 Töreboda;54,43065535;50,07620292;9186
1480 Göteborg;26,0873499;28,13144539;596841
1481 Mölndal;27,24329259;28,52700794;70109
1482 Kungälv;35,05339529;40,75976196;49068
1484 Lysekil;64,92589979;71,98306281;14170
1485 Uddevalla;42,07255333;46,78607591;57282
1486 Strömstad;58,69074492;49,66139955;13290
1487 Vänersborg;51,12269447;45,10825982;39904
1488 Trollhättan;47,06954145;40,3212201;59274
1489 Alingsås;46,6835707;44,07687386;42199
1490 Borås;37,04836384;36,96098563;114445
1491 Ulricehamn;45,00557591;43,01417875;25108
1492 Åmål;63,85068762;49,11591356;12216
1493 Mariestad;56,5245478;56,5245478;24768
1494 Lidköping;47,95214672;46,96344267;40457
1495 Skara;46,92082111;42,12210077;18755
1496 Skövde;36,89330526;40,37380575;57463
1497 Hjo;49,76739154;57,34069025;9243
1498 Tidaholm;52,18474959;43,61710414;12839
1499 Falköping;52,92914712;50,82401059;33252
1715 Kil;60,25588114;44,57284358;12115
1730 Eda;33,97773872;37,49267721;8535
1737 Torsby;76,24222242;57,83892735;11411
1760 Storfors;64,39979392;56,67181865;3882
1761 Hammarö;41,61712247;42,80618312;16820
1762 Munkfors;72,95325588;67,549311;3701
1763 Forshaga;34,54828122;45,77647262;11578
1764 Grums;59,30807249;47,22679846;9105
1765 Årjäng;34,29493645;45,39035707;9914
1766 Sunne;52,91399612;47,69712327;13418
1780 Karlstad;39,1847905;43,74598304;96466
1781 Kristinehamn;56,95755207;59,4520434;24053
1782 Filipstad;63,98448861;58,16771692;10315
1783 Hagfors;68,16809043;69,89386487;11589
1784 Arvika;59,22886343;60,39021369;25832
1785 Säffle;57,07912347;55,76695972;15242
1814 Lekeberg;41,11466423;30,83599817;8756
1860 Laxå;73,52941176;69,94261119;5576
1861 Hallsberg;52,79312462;42,3572744;16290
1862 Degerfors;64,00839454;45,12067156;9530
1863 Hällefors;66,10576923;79,62740385;6656
1864 Ljusnarsberg;70,84348019;46,49103387;4517
1880 Örebro;37,2650373;34,2281582;158057
1881 Kumla;35,58877174;34,2541928;22479
1882 Askersund;59,14586414;50,44794294;11497
1883 Karlskoga;54,49501288;50,53173922;30278
1884 Nora;59,80749463;41,11765256;10701
1885 Lindesberg;53,76573501;52,91231065;23435
1904 Skinnskatteberg;77,23761926;45,43389368;4402
1907 Surahammar;44,85198844;51,82896442;10033
1960 Kungsör;46,79296964;35,38005022;8762
1961 Hallstahammar;41,29016815;40,69175992;16711
1962 Norberg;62,20010663;55,09152301;5627
1980 Västerås;34,66685156;34,22563708;158653
1981 Sala;49,17105435;49,17105435;22981
1982 Fagersta;53,21939885;60,71508882;13341
1983 Köping;44,02756508;51,30168453;26120
1984 Arboga;57,51615423;52,54562238;14083
2021 Vansbro;54,41176471;67,64705882;6800
2023 Malung-Sälen;50,69214272;53,61668941;10258
2026 Gagnef;37,14639489;38,09886656;10499
2029 Leksand;44,06379942;50,26996835;16113
2031 Rättvik;82,04111071;70,32095204;11092
2034 Orsa;51,9180848;54,80242284;6934
2039 Älvdalen;54,14648048;76,94499858;7018
2061 Smedjebacken;54,01941036;51,27266068;10922
2062 Mora;59,9642149;55,12839112;20679
2080 Falun;36,44387977;39,78735498;59818
2081 Borlänge;42,73831883;40,82180229;52178
2082 Säter;53,23396327;46,1361015;11271
2083 Hedemora;56,33620411;49,86077835;15443
2084 Avesta;54,07291122;51,02040816;22932
2085 Ludvika;60,33468675;52,74541798;26353
2101 Ockelbo;79,02422264;65,28087957;5821
2104 Hofors;62,28885135;53,84290541;9472
2121 Ovanåker;62,81190845;54,20753743;11622
2132 Nordanstig;64,29851376;43,21703384;9487
2161 Ljusdal;58,06829684;69,78850354;18771
2180 Gävle;42,70820249;44,35082566;103493
2181 Sandviken;52,68811704;57,03616553;39098
2182 Söderhamn;64,92992319;70,47272151;25258
2183 Bollnäs;60,84735577;70,98858173;26624
2184 Hudiksvall;62,35406495;54,12863511;37688
2260 Ånge;72,18637209;69,99890627;9143
2262 Timrå;70,40666892;47,87653487;17754
2280 Härnösand;70,34044777;57,88013988;24879
2281 Sundsvall;49,11383742;50,62348406;99361
2282 Kramfors;65,34852547;67,02412869;17904
2283 Sollefteå;70,71302298;78,74859378;18667
2284 Örnsköldsvik;57,2385118;57,41850712;55557
2303 Ragunda;88,90606881;86,97332818;5174
2305 Bräcke;69,78253814;47,062642;6162
2309 Krokom;50,862735;48,93123873;15532
2313 Strömsund;71,07133456;65,80679126;11397
2321 Åre;35,68532036;21,89781022;12330
2326 Berg;61,3154961;69,67670011;7176
2361 Härjedalen;74,61953854;68,72852234;10185
2380 Östersund;44,03992954;47,28497698;64714
2401 Nordmaling;62,27002547;75,00707614;7066
2403 Bjurholm;101,1804384;113,8279933;2372
2404 Vindeln;63,59011628;89,02616279;5504
2409 Robertsfors;71,01642255;62,13936973;6759
2417 Norsjö;76,007094;88,67494299;3947
2418 Malå;75,83250907;75,83250907;3033
2421 Storuman;78,30172264;66,12145467;5747
2422 Sorsele;69,7865353;86,20689655;2436
2425 Dorotea;145,0476585;111,893908;2413
2460 Vännäs;60,24768493;49,09070624;8963
2462 Vilhelmina;67,26106679;79,77475364;6393
2463 Åsele;75,4852624;79,07979871;2782
2480 Umeå;33,50096419;36,37463606;132235
2481 Lycksele;66,97704811;75,96177407;12243
2482 Skellefteå;55,24045053;56,58450042;74402
2505 Arvidsjaur;60,54655539;76,91048928;6111
2506 Arjeplog;71,24109486;59,99250094;2667
2510 Jokkmokk;81,93277311;48,31932773;4760
2513 Överkalix;129,7468354;129,7468354;3160
2514 Kalix;73,74912582;67,39144256;15729
2518 Övertorneå;80,11653314;46,1277009;4119
2521 Pajala;101,9887812;74,7917729;5883
2523 Gällivare;59,70149254;55,68312285;17420
2560 Älvsbyn;75,84376185;70,78751106;7911
2580 Luleå;42,14830145;47,0698097;79244
2581 Piteå;49,10060904;49,33666966;42362
2582 Boden;58,11466058;52,76668568;28048
2583 Haparanda;38,54389722;26,76659529;9340
2584 Kiruna;62,43589172;53,07050796;22423
