Datum;Lufttemperatur
2013-01-01 00:00;-4.6
2013-02-01 00:00;-2.4
2013-03-01 00:00;-3.6
2013-04-01 00:00;4.0
2013-05-01 00:00;12.8
2013-07-01 00:00;17.7
2013-08-01 00:00;16.6
2013-09-01 00:00;11.6
2013-10-01 00:00;7.8
2013-11-01 00:00;3.4
2013-12-01 00:00;2.7
2014-01-01 00:00;-1.9
2014-02-01 00:00;1.7
2014-03-01 00:00;3.8
2014-04-01 00:00;6.7
2014-05-01 00:00;10.4
2014-06-01 00:00;13.6
2014-07-01 00:00;20.1
2014-08-01 00:00;16.6
2014-09-01 00:00;12.1
2014-10-01 00:00;8.7
2014-11-01 00:00;4.8
2014-12-01 00:00;-0.6
2015-01-01 00:00;0.3
2015-02-01 00:00;0.6
2015-05-01 00:00;9.4
2015-06-01 00:00;13.9
2015-07-01 00:00;16.4
2015-08-01 00:00;16.9
2015-09-01 00:00;12.6
2015-10-01 00:00;6.6
2015-11-01 00:00;4.3
2015-12-01 00:00;3.3
2016-01-01 00:00;-4.9
2016-02-01 00:00;-0.5
2016-03-01 00:00;2.5
2016-04-01 00:00;5.5
2016-05-01 00:00;12.3
2016-06-01 00:00;15.9
2016-07-01 00:00;17.9
2016-08-01 00:00;16.1
2016-09-01 00:00;14.4
2016-10-01 00:00;6.9
2016-11-01 00:00;1.6
2016-12-01 00:00;1.8
2017-01-01 00:00;-0.9
2017-02-01 00:00;-0.6
2017-03-01 00:00;2.7
2017-04-01 00:00;4.4
2017-05-01 00:00;10.9
2017-06-01 00:00;15.0
2017-07-01 00:00;16.9
2017-08-01 00:00;16.0
2017-09-01 00:00;12.5
2017-10-01 00:00;7.3
2017-11-01 00:00;2.9
2017-12-01 00:00;0.7
2018-01-01 00:00;-0.6
2018-02-01 00:00;-4.0
2018-03-01 00:00;-2.3
2018-04-01 00:00;6.4
2018-05-01 00:00;15.4
2018-06-01 00:00;16.5
2018-07-01 00:00;21.5
2018-08-01 00:00;17.9
2018-09-01 00:00;13.4
2018-10-01 00:00;7.6
2018-11-01 00:00;3.8
2018-12-01 00:00;0.2
2019-01-01 00:00;-2.7
2019-02-01 00:00;1.4
2019-03-01 00:00;2.4
2019-04-01 00:00;6.8
2019-05-01 00:00;10.5
2019-06-01 00:00;17.8
2019-07-01 00:00;17.0
2019-08-01 00:00;17.3
2019-09-01 00:00;12.1
2019-10-01 00:00;6.6
2019-11-01 00:00;3.7
2019-12-01 00:00;2.3
2020-01-01 00:00;3.6
2020-02-01 00:00;2.2
2020-03-01 00:00;2.9
2020-04-01 00:00;6.7
2020-05-01 00:00;9.5
2020-06-01 00:00;18.0
2020-07-01 00:00;16.3
2020-08-01 00:00;18.3
2020-09-01 00:00;13.5
2020-10-01 00:00;8.8
2020-11-01 00:00;6.3
2020-12-01 00:00;3.6
2021-01-01 00:00;-1.9
2021-02-01 00:00;-2.8
2021-03-01 00:00;3.1
2021-04-01 00:00;4.9
2021-05-01 00:00;10.0
2021-06-01 00:00;18.5
2021-07-01 00:00;20.3
2021-08-01 00:00;15.1
2021-09-01 00:00;11.7
2021-10-01 00:00;8.8
2021-11-01 00:00;3.1
2021-12-01 00:00;-2.4
2022-01-01 00:00;0.0
2022-02-01 00:00;0.3
2022-03-01 00:00;2.7
2022-04-01 00:00;4.9
2022-05-01 00:00;10.7
2022-06-01 00:00;17.2
2022-07-01 00:00;17.6
2022-08-01 00:00;18.7
2022-09-01 00:00;11.2
2022-10-01 00:00;9.2
2022-11-01 00:00;4.7
2022-12-01 00:00;-2.3
