Datum;Lufttemperatur
2021-01-01 00:00;-1.9
2021-02-01 00:00;-2.8
2021-03-01 00:00;3.1
2021-04-01 00:00;4.9
2021-05-01 00:00;10.0
2021-06-01 00:00;18.5
2021-07-01 00:00;20.3
2021-08-01 00:00;15.1
2021-09-01 00:00;11.7
2021-10-01 00:00;8.8
2021-11-01 00:00;3.1
2021-12-01 00:00;-2.4
2022-01-01 00:00;0.0
2022-02-01 00:00;0.3
2022-03-01 00:00;2.7
2022-04-01 00:00;4.9
2022-05-01 00:00;10.7
2022-06-01 00:00;17.2
2022-07-01 00:00;17.6
2022-08-01 00:00;18.7
2022-09-01 00:00;11.2
2022-10-01 00:00;9.2
2022-11-01 00:00;4.7
2022-12-01 00:00;-2.3
