Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Södertälje;97120;SMHIs stationsnät;2.0
;;;
;;;
Från Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1909-07-01 00:00;09-juli;15.6;G
1909-08-01 00:00;09-aug;15.5;G
1909-09-01 00:00;09-sep;10.8;G
1909-10-01 00:00;09-okt;9.3;G
1909-11-01 00:00;09-nov;-2.5;G
1909-12-01 00:00;09-dec;-1.4;G
1910-01-01 00:00;10-jan;-2.2;G
1910-02-01 00:00;10-feb;-0.6;G
1910-03-01 00:00;10-mars;1.3;G
1910-04-01 00:00;10-apr;4.9;G
1910-05-01 00:00;10-maj;10.6;G
1910-06-01 00:00;10-juni;15.4;G
1910-07-01 00:00;10-juli;15.2;G
1910-08-01 00:00;10-aug;14.3;G
1910-09-01 00:00;10-sep;12.0;G
1910-10-01 00:00;10-okt;6.1;G
1910-11-01 00:00;10-nov;0.9;G
1910-12-01 00:00;10-dec;0.2;G
1911-01-01 00:00;11-jan;-1.7;G
1911-02-01 00:00;11-feb;-2.0;G
1911-03-01 00:00;11-mars;0.3;G
1911-04-01 00:00;11-apr;4.2;G
1911-05-01 00:00;11-maj;11.2;G
1911-06-01 00:00;11-juni;13.5;G
1911-07-01 00:00;11-juli;15.9;G
1911-08-01 00:00;11-aug;17.3;G
1911-09-01 00:00;11-sep;12.1;G
1911-10-01 00:00;11-okt;5.2;G
1911-11-01 00:00;11-nov;3.1;G
1911-12-01 00:00;11-dec;1.1;G
1912-02-01 00:00;12-feb;-4.0;G
1912-03-01 00:00;12-mars;1.7;G
1912-04-01 00:00;12-apr;3.7;G
1912-05-01 00:00;12-maj;7.9;Y
1912-06-01 00:00;12-juni;14.3;Y
1912-07-01 00:00;12-juli;18.2;Y
1912-08-01 00:00;12-aug;15.7;Y
1912-09-01 00:00;12-sep;8.6;Y
1912-10-01 00:00;12-okt;4.8;Y
1912-11-01 00:00;12-nov;1.1;Y
1912-12-01 00:00;12-dec;1.7;Y
1913-01-01 00:00;13-jan;-3.2;Y
1913-02-01 00:00;13-feb;-0.4;Y
1913-03-01 00:00;13-mars;2.5;Y
1913-04-01 00:00;13-apr;5.1;Y
1913-05-01 00:00;13-maj;10.3;Y
1913-06-01 00:00;13-juni;13.8;Y
1913-07-01 00:00;13-juli;16.1;Y
1913-08-01 00:00;13-aug;15.0;Y
1913-09-01 00:00;13-sep;11.1;Y
1913-10-01 00:00;13-okt;6.8;Y
1913-11-01 00:00;13-nov;4.2;Y
1913-12-01 00:00;13-dec;-2.6;Y
1914-01-01 00:00;14-jan;-3.8;Y
1914-02-01 00:00;14-feb;1.6;Y
1914-03-01 00:00;14-mars;-0.5;Y
1914-04-01 00:00;14-apr;6.7;Y
1914-05-01 00:00;14-maj;10.2;Y
1914-06-01 00:00;14-juni;14.8;Y
1914-07-01 00:00;14-juli;21.3;Y
1914-08-01 00:00;14-aug;15.5;Y
1914-09-01 00:00;14-sep;11.7;Y
1914-10-01 00:00;14-okt;5.8;Y
1914-11-01 00:00;14-nov;1.4;Y
1914-12-01 00:00;14-dec;2.1;Y
1915-01-01 00:00;15-jan;-4.8;Y
1915-02-01 00:00;15-feb;-2.0;Y
1915-03-01 00:00;15-mars;-3.8;Y
1915-04-01 00:00;15-apr;4.0;Y
1915-05-01 00:00;15-maj;8.2;Y
1915-06-01 00:00;15-juni;13.2;Y
1915-07-01 00:00;15-juli;16.0;Y
1915-08-01 00:00;15-aug;15.0;Y
1915-09-01 00:00;15-sep;9.8;Y
1915-10-01 00:00;15-okt;3.7;Y
1915-11-01 00:00;15-nov;0.4;Y
1915-12-01 00:00;15-dec;-7.5;Y
1916-01-01 00:00;16-jan;-2.0;Y
1916-02-01 00:00;16-feb;-2.8;Y
1916-03-01 00:00;16-mars;-2.2;Y
1916-04-01 00:00;16-apr;4.8;Y
1916-05-01 00:00;16-maj;8.8;Y
1916-06-01 00:00;16-juni;12.0;Y
1916-07-01 00:00;16-juli;16.9;Y
1916-08-01 00:00;16-aug;13.0;Y
1916-09-01 00:00;16-sep;9.4;Y
1916-10-01 00:00;16-okt;5.4;Y
1916-11-01 00:00;16-nov;4.1;Y
1916-12-01 00:00;16-dec;-0.5;Y
1917-01-01 00:00;17-jan;-9.7;Y
1917-02-01 00:00;17-feb;-5.9;Y
1917-03-01 00:00;17-mars;-5.9;Y
1917-04-01 00:00;17-apr;1.0;Y
1917-05-01 00:00;17-maj;9.3;Y
1917-06-01 00:00;17-juni;17.7;Y
1917-07-01 00:00;17-juli;16.0;Y
1917-08-01 00:00;17-aug;17.1;Y
1917-09-01 00:00;17-sep;11.9;Y
1917-10-01 00:00;17-okt;6.8;Y
1917-11-01 00:00;17-nov;2.3;Y
1917-12-01 00:00;17-dec;-3.0;Y
1918-01-01 00:00;18-jan;-6.7;Y
1918-02-01 00:00;18-feb;-2.2;Y
1918-03-01 00:00;18-mars;-0.6;Y
1918-04-01 00:00;18-apr;4.3;Y
1918-05-01 00:00;18-maj;10.4;Y
1918-06-01 00:00;18-juni;12.6;Y
1918-07-01 00:00;18-juli;17.3;Y
1918-08-01 00:00;18-aug;15.3;Y
1918-09-01 00:00;18-sep;10.5;Y
1918-10-01 00:00;18-okt;7.8;Y
1918-11-01 00:00;18-nov;3.3;Y
1918-12-01 00:00;18-dec;-1.3;Y
1919-01-01 00:00;19-jan;-1.3;Y
1919-02-01 00:00;19-feb;-4.7;Y
1919-03-01 00:00;19-mars;-1.9;Y
1919-04-01 00:00;19-apr;3.8;Y
1919-05-01 00:00;19-maj;10.6;Y
1919-06-01 00:00;19-juni;13.8;Y
1919-07-01 00:00;19-juli;17.8;Y
1919-08-01 00:00;19-aug;13.7;Y
1919-09-01 00:00;19-sep;12.4;Y
1919-10-01 00:00;19-okt;5.1;Y
1919-11-01 00:00;19-nov;-2.1;Y
1919-12-01 00:00;19-dec;-3.8;Y
1920-01-01 00:00;20-jan;-3.3;Y
1920-02-01 00:00;20-feb;0.3;Y
1920-03-01 00:00;20-mars;3.0;Y
1920-04-01 00:00;20-apr;5.7;Y
1920-05-01 00:00;20-maj;11.3;Y
1920-06-01 00:00;20-juni;14.0;Y
1920-07-01 00:00;20-juli;17.4;Y
1920-08-01 00:00;20-aug;14.9;Y
1920-09-01 00:00;20-sep;11.2;Y
1920-10-01 00:00;20-okt;5.0;Y
1920-11-01 00:00;20-nov;2.9;Y
1920-12-01 00:00;20-dec;-0.8;Y
1921-01-01 00:00;21-jan;-1.8;Y
1921-02-01 00:00;21-feb;-2.4;Y
1921-03-01 00:00;21-mars;3.8;Y
1921-04-01 00:00;21-apr;7.0;Y
1921-05-01 00:00;21-maj;13.0;Y
1921-06-01 00:00;21-juni;13.9;Y
1921-07-01 00:00;21-juli;15.6;Y
1921-08-01 00:00;21-aug;15.3;Y
1921-09-01 00:00;21-sep;10.8;Y
1921-10-01 00:00;21-okt;6.8;Y
1921-11-01 00:00;21-nov;-0.9;Y
1921-12-01 00:00;21-dec;-0.9;Y
1922-01-01 00:00;22-jan;-5.7;Y
1922-02-01 00:00;22-feb;-4.1;Y
1922-03-01 00:00;22-mars;-0.8;Y
1922-04-01 00:00;22-apr;2.0;Y
1922-05-01 00:00;22-maj;10.6;Y
1922-06-01 00:00;22-juni;14.8;Y
1922-07-01 00:00;22-juli;16.0;Y
1922-08-01 00:00;22-aug;14.5;Y
1922-09-01 00:00;22-sep;10.2;Y
1922-10-01 00:00;22-okt;3.8;Y
1922-11-01 00:00;22-nov;0.4;Y
1922-12-01 00:00;22-dec;-0.7;Y
1923-01-01 00:00;23-jan;-0.4;Y
1923-02-01 00:00;23-feb;-5.9;Y
1923-03-01 00:00;23-mars;-0.9;Y
1923-04-01 00:00;23-apr;2.3;Y
1923-05-01 00:00;23-maj;8.6;Y
1923-06-01 00:00;23-juni;11.1;Y
1923-07-01 00:00;23-juli;17.4;Y
1923-08-01 00:00;23-aug;13.9;Y
1923-09-01 00:00;23-sep;10.7;Y
1923-10-01 00:00;23-okt;7.1;Y
1923-11-01 00:00;23-nov;0.4;Y
1923-12-01 00:00;23-dec;-3.7;Y
1924-01-01 00:00;24-jan;-4.1;Y
1924-02-01 00:00;24-feb;-7.2;Y
1924-03-01 00:00;24-mars;-4.2;Y
1924-04-01 00:00;24-apr;1.4;Y
1924-05-01 00:00;24-maj;9.5;Y
1924-06-01 00:00;24-juni;13.5;Y
1924-07-01 00:00;24-juli;16.6;Y
1924-08-01 00:00;24-aug;16.1;Y
1924-09-01 00:00;24-sep;12.5;Y
1924-10-01 00:00;24-okt;7.6;Y
1924-11-01 00:00;24-nov;2.9;Y
1924-12-01 00:00;24-dec;2.5;Y
1925-01-01 00:00;25-jan;0.4;Y
1925-02-01 00:00;25-feb;0.7;Y
1925-03-01 00:00;25-mars;-2.0;Y
1925-04-01 00:00;25-apr;5.2;Y
1925-05-01 00:00;25-maj;10.4;Y
1925-06-01 00:00;25-juni;14.7;Y
1925-07-01 00:00;25-juli;19.5;Y
1925-08-01 00:00;25-aug;16.0;Y
1925-09-01 00:00;25-sep;10.9;Y
1925-10-01 00:00;25-okt;4.1;Y
1925-11-01 00:00;25-nov;-1.9;Y
1925-12-01 00:00;25-dec;-4.4;Y
1926-01-01 00:00;26-jan;-3.6;Y
1926-02-01 00:00;26-feb;-4.9;Y
1926-03-01 00:00;26-mars;-0.1;Y
1926-04-01 00:00;26-apr;3.9;Y
1926-05-01 00:00;26-maj;8.8;Y
1926-06-01 00:00;26-juni;14.5;Y
1926-07-01 00:00;26-juli;18.8;Y
1926-08-01 00:00;26-aug;16.0;Y
1926-09-01 00:00;26-sep;11.2;Y
1926-10-01 00:00;26-okt;3.7;Y
1926-11-01 00:00;26-nov;3.3;Y
1926-12-01 00:00;26-dec;-3.4;Y
1927-01-01 00:00;27-jan;-1.5;Y
1927-02-01 00:00;27-feb;-1.9;Y
1927-03-01 00:00;27-mars;1.8;Y
1927-04-01 00:00;27-apr;3.3;Y
1927-05-01 00:00;27-maj;6.6;Y
1927-06-01 00:00;27-juni;13.0;Y
1927-07-01 00:00;27-juli;19.1;Y
1927-08-01 00:00;27-aug;17.0;Y
1927-09-01 00:00;27-sep;11.1;Y
1927-10-01 00:00;27-okt;5.1;Y
1927-11-01 00:00;27-nov;-0.5;Y
1927-12-01 00:00;27-dec;-6.1;Y
1928-01-01 00:00;28-jan;-3.3;Y
1928-02-01 00:00;28-feb;-2.9;Y
1928-03-01 00:00;28-mars;-2.5;Y
1928-04-01 00:00;28-apr;3.8;Y
1928-05-01 00:00;28-maj;8.4;Y
1928-06-01 00:00;28-juni;10.7;Y
1928-07-01 00:00;28-juli;15.1;Y
1928-08-01 00:00;28-aug;14.0;Y
1928-09-01 00:00;28-sep;10.4;Y
