Datum;Representativ;Lufttemperatur;Kvalitet
1945-10-01;okt-45;8.0;Y
1945-11-01;nov-45;3.9;Y
1945-12-01;dec-45;0.1;Y
1946-01-01;jan-46;-0.5;Y
1946-02-01;feb-46;-2.0;Y
1946-03-01;mars-46;-0.5;Y
1946-04-01;apr-46;6.1;Y
1946-05-01;maj-46;9.2;Y
1946-06-01;juni-46;13.5;Y
1946-07-01;juli-46;17.6;Y
1946-08-01;aug-46;15.7;Y
1946-09-01;sep-46;13.2;Y
1946-10-01;okt-46;6.1;Y
1946-11-01;nov-46;3.5;Y
1946-12-01;dec-46;0.2;Y
1947-01-01;jan-47;-4.3;Y
1947-02-01;feb-47;-9.2;Y
1947-03-01;mars-47;-4.2;Y
1947-04-01;apr-47;4.4;Y
1947-05-01;maj-47;10.4;Y
1947-06-01;juni-47;15.3;Y
1947-07-01;juli-47;17.8;Y
1947-08-01;aug-47;16.8;Y
1947-09-01;sep-47;14.8;Y
1947-10-01;okt-47;7.9;Y
1947-11-01;nov-47;2.7;Y
1947-12-01;dec-47;0.5;Y
1948-01-01;jan-48;-1.4;Y
1948-02-01;feb-48;-2.9;Y
1948-03-01;mars-48;1.7;Y
1948-04-01;apr-48;6.1;Y
1948-05-01;maj-48;9.8;Y
1948-06-01;juni-48;13.9;Y
1948-07-01;juli-48;17.0;Y
1948-08-01;aug-48;15.8;Y
1948-09-01;sep-48;13.1;Y
1948-10-01;okt-48;7.3;Y
1948-11-01;nov-48;3.5;Y
1948-12-01;dec-48;3.2;Y
1949-01-01;jan-49;1.5;Y
1949-02-01;feb-49;1.9;Y
1949-03-01;mars-49;-0.0;Y
1949-04-01;apr-49;5.7;Y
1949-05-01;maj-49;11.4;Y
1949-06-01;juni-49;12.8;Y
1949-07-01;juli-49;17.0;Y
1949-08-01;aug-49;15.4;Y
1949-09-01;sep-49;15.5;Y
1949-10-01;okt-49;9.2;Y
1949-11-01;nov-49;5.3;Y
1949-12-01;dec-49;3.0;Y
1950-01-01;jan-50;-3.3;Y
1950-02-01;feb-50;0.0;Y
1950-03-01;mars-50;1.9;Y
1950-04-01;apr-50;5.5;Y
1950-05-01;maj-50;10.2;Y
1950-06-01;juni-50;15.1;Y
1950-07-01;juli-50;16.1;Y
1950-08-01;aug-50;16.6;Y
1950-09-01;sep-50;13.0;Y
1950-10-01;okt-50;7.9;Y
1950-11-01;nov-50;3.7;Y
1950-12-01;dec-50;0.8;Y
1951-01-01;jan-51;-1.4;Y
1951-02-01;feb-51;-1.2;Y
1951-03-01;mars-51;-2.3;Y
1951-04-01;apr-51;4.8;Y
